,Precursors,,,,,,,,Processing,,
Sample #,AX alloy ratios,AX,Solvent,BX alloy ratios,BX,Solvent,AX:BX3,Precursor Concentration/M,Preheat,Annealing,Annealing time/min
,,,,,,,,,/øC,/øC,
1,1,FAI,DMSO:DMF = 1:9,1,PbI2,DMSO:DMF = 1:9,01:01,1.2,RT,100,10
2,09:01,"FAI, MABr",DMSO:DMF = 1:9,09:01,"PbI2, PbBr2",DMSO:DMF = 1:9,01:01,1.2,RT,100,10
3,08:02,"FAI, MABr",DMSO:DMF = 1:9,08:02,"PbI2, PbBr2",DMSO:DMF = 1:9,01:01,1.2,RT,100,10
4,07:03,"FAI, MABr",DMSO:DMF = 1:9,07:03,"PbI2, PbBr2",DMSO:DMF = 1:9,01:01,1.2,RT,100,10
5,06:04,"FAI, MABr",DMSO:DMF = 1:9,06:04,"PbI2, PbBr2",DMSO:DMF = 1:9,01:01,1.2,RT,100,10
6,05:05,"FAI, MABr",DMSO:DMF = 1:9,05:05,"PbI2, PbBr2",DMSO:DMF = 1:9,01:01,1.2,RT,100,10
7,04:06,"FAI, MABr",DMSO:DMF = 1:9,04:06,"PbI2, PbBr2",DMSO:DMF = 1:9,01:01,1.2,RT,100,10
8,03:07,"FAI, MABr",DMSO:DMF = 1:9,03:07,"PbI2, PbBr2",DMSO:DMF = 1:9,01:01,1.2,RT,100,10
9,02:08,"FAI, MABr",DMSO:DMF = 1:9,02:08,"PbI2, PbBr2",DMSO:DMF = 1:9,01:01,1.2,RT,100,10
10,01:09,"FAI, MABr",DMSO:DMF = 1:9,01:09,"PbI2, PbBr2",DMSO:DMF = 1:9,01:01,1.2,RT,100,10
11,1,MABr,DMSO:DMF = 1:9,1,PbBr2,DMSO:DMF = 1:9,01:01,1.2,RT,100,10
12,9:1 +5%CsI + 5% RbI,"FAI, MABr, CsI, RbI",DMSO:DMF = 1:4,09:01,"PbI2, PbBr2",DMSO:DMF = 1:4,01:01,1.2,RT,100,10
13,5:1 +5%CsI + 5% RbI,"FAI, MABr, CsI, RbI",DMSO:DMF = 1:4,05:01,"PbI2, PbBr3",DMSO:DMF = 1:4,01:01,1.2,RT,100,10
14,3:1 +5%CsI + 5% RbI,"FAI, MABr, CsI, RbI",DMSO:DMF = 1:4,03:01,"PbI2, PbBr4",DMSO:DMF = 1:4,01:01,1.2,RT,100,10
15,2:1 +5%CsI + 5% RbI,"FAI, MABr, CsI, RbI",DMSO:DMF = 1:4,02:01,"PbI2, PbBr5",DMSO:DMF = 1:4,01:01,1.2,RT,100,10
16,1:1 +5%CsI + 5% RbI,"FAI, MABr, CsI, RbI",DMSO:DMF = 1:4,01:01,"PbI2, PbBr6",DMSO:DMF = 1:4,01:01,1.2,RT,100,10
17,1:2 +5%CsI + 5% RbI,"FAI, MABr, CsI, RbI",DMSO:DMF = 1:4,01:02,"PbI2, PbBr7",DMSO:DMF = 1:4,01:01,1.2,RT,100,10
18,1:3 +5%CsI + 5% RbI,"FAI, MABr, CsI, RbI",DMSO:DMF = 1:4,01:03,"PbI2, PbBr8",DMSO:DMF = 1:4,01:01,1.2,RT,100,10
19,1:5 +5%CsI + 5% RbI,"FAI, MABr, CsI, RbI",DMSO:DMF = 1:4,01:05,"PbI2, PbBr9",DMSO:DMF = 1:4,01:01,1.2,RT,100,10
20,1:9 +5%CsI + 5% RbI,"FAI, MABr, CsI, RbI",DMSO:DMF = 1:4,01:09,"PbI2, PbBr10",DMSO:DMF = 1:4,01:01,1.2,RT,100,10
21,1,FABr,DMSO:DMF = 1:9,1,PbBr2,DMSO:DMF = 1:9,01:01,1.2,RT,110,10
22,1,MAI,DMSO:DMF = 1:9,1,SnI2,DMSO:DMF = 1:9,01:01,1.2,RT,100,10
23,1%CaI,"MAI, CaI",DMSO:DMF = 1:9,1,SnI2,DMSO:DMF = 1:9,01:01,1.2,RT,100,10
24,5%CaI,"MAI, CaI",DMSO:DMF = 1:9,1,SnI2,DMSO:DMF = 1:9,01:01,1.2,RT,100,10
